# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "2" "-t" "gene" "-g" "gene_id" "-a" "/mnt/d/rna_seq/gtf/Oryza_sativa.IRGSP-1.0.50.chr.gtf" "-o" "counts.txt" "-M" "SRR12073954.bam" "SRR12073955.bam" "SRR12073956.bam" "SRR12073957.bam" "SRR12073958.bam" "SRR12073959.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR12073954.bam	SRR12073955.bam	SRR12073956.bam	SRR12073957.bam	SRR12073958.bam	SRR12073959.bam
Os01g0103800	1	197647	200803	+	3157	447	457	446	200	283	287
Os01g0103900	1	201944	206202	+	4259	17	8	7	4	10	12
Os01g0104000	1	206131	209606	-	3476	825	723	848	660	570	539
Os01g0104100	1	209771	214173	+	4403	1478	1357	1375	966	1216	1072
Os01g0104200	1	216212	217345	+	1134	64	47	26	84	51	38
Os01g0104350	1	224916	225543	+	628	122	140	167	170	161	114
Os01g0104400	1	226897	229301	+	2405	1475	1440	1641	1293	1141	1112
Os01g0104500	1	241680	243440	+	1761	6592	7062	5812	4320	7068	7050
Os01g0104600	1	248828	256872	-	8045	562	557	502	265	396	363
Os01g0104800	1	261530	268145	+	6616	496	710	714	308	423	331
Os01g0104900	1	270179	275084	-	4906	22	15	37	18	10	24
Os01g0105300	1	284762	291892	-	7131	18	14	10	10	13	0
Os01g0105400	1	288372	292296	+	3925	0	0	0	0	0	0
Os01g0105700	1	303233	306736	+	3504	30	7	4	17	20	37
Os01g0105800	1	306871	308842	-	1972	70	81	51	128	93	78
Os01g0105900	1	309520	313170	-	3651	432	436	397	300	360	465
Os01g0106200	1	319754	322205	+	2452	313	293	344	185	206	173
Os01g0106300	1	322591	323923	-	1333	4	4	1	0	0	1
Os01g0106400	1	327128	328450	-	1323	147	227	250	16	28	25
Os01g0106500	1	331382	332345	-	964	636	926	1258	292	437	418
Os01g0106600	1	332667	333689	-	1023	79	85	59	27	31	38
Os01g0106700	1	335809	370652	+	34844	1601	1805	1103	840	726	900
Os01g0106750	1	370861	371198	+	338	197	152	243	105	102	138
Os01g0106800	1	371831	374412	+	2582	687	831	851	537	575	470
Os01g0106900	1	374728	380713	-	5986	654	561	674	280	225	263
Os01g0107000	1	383250	386648	-	3399	489	425	463	316	421	442
Os01g0107400	1	392083	392578	-	496	34	67	68	16	25	36
Os01g0107700	1	412625	415823	+	3199	6	3	9	6	12	7
Os01g0107750	1	412636	415516	-	2881	0	0	0	0	0	0
Os01g0107801	1	416058	416130	+	73	0	0	0	0	0	0
Os01g0107900	1	416264	420497	-	4234	2505	2601	1855	1529	1463	1638
Os01g0108000	1	422539	431217	+	8679	771	708	509	474	532	574
Os01g0108200	1	441203	448951	+	7749	1243	1386	1144	665	625	750
Os01g0108400	1	455707	457425	+	1719	0	0	0	0	0	0
Os01g0108500	1	460177	461371	+	1195	0	0	0	2	0	0
Os01g0108600	1	478384	481165	+	2782	39	41	65	26	60	13
Os01g0108700	1	482332	482955	+	624	0	0	0	0	0	0
Os01g0108800	1	483887	486492	+	2606	183	130	138	31	43	20
Os01g0109000	1	495711	497253	-	1543	94	91	168	36	35	65
Os01g0109201	1	498612	506251	-	7640	0	0	0	0	0	0
Os01g0109300	1	498668	506233	+	7566	0	0	0	0	0	0
Os01g0109366	1	508687	509191	+	505	0	3	1	0	0	2
Os01g0109432	1	509226	509803	-	578	27	22	22	7	1	5
Os01g0109500	1	510752	512142	+	1391	67	68	75	17	15	30
Os01g0109700	1	513890	522448	-	8559	4697	4967	3222	2966	2859	3271
Os01g0109750	1	524671	527980	-	3310	129	141	224	94	128	97
Os01g0110050	1	536973	538644	-	1672	11	1	7	0	1	8
Os01g0110100	1	537710	543354	+	5645	36	40	49	1	8	19
Os01g0110200	1	543425	544510	-	1086	295	306	427	4	10	12
Os01g0110400	1	549157	552574	+	3418	1135	1237	1016	1219	1281	1059
Os01g0110500	1	554025	558015	-	3991	67	94	82	43	53	59
Os01g0110600	1	554334	557257	+	2924	0	0	0	0	0	0
Os01g0110700	1	562088	572092	-	10005	262	323	308	65	64	61
Os01g0110800	1	576495	579569	-	3075	44	106	135	12	37	40
Os01g0111000	1	585876	586445	+	570	0	0	0	0	0	0
Os01g0111100	1	586445	587696	-	1252	76	93	98	36	37	56
Os01g0111200	1	588917	593714	+	4798	1530	1684	1716	1197	1194	1060
Os01g0111300	1	597009	597804	+	796	16	24	34	12	20	30
Os01g0111400	1	598290	601467	+	3178	204	210	194	131	146	171
Os01g0111500	1	603643	605643	-	2001	0	0	0	0	0	1
Os01g0111600	1	612564	615631	+	3068	2794	2518	2091	3371	2527	2103
Os01g0111700	1	620572	621516	-	945	2	2	23	1	0	0
Os01g0111800	1	624087	624759	+	673	154	106	202	104	142	113
Os01g0111900	1	625986	627009	+	1024	163	133	166	184	181	148
Os01g0112000	1	632139	632790	+	652	50	64	81	6	18	11
Os01g0112050	1	634040	634757	-	718	11	6	12	8	8	8
Os01g0112100	1	635325	639015	-	3691	61	71	67	59	53	39
Os01g0112201	1	637962	639060	+	1099	0	0	0	0	0	0
Os01g0112300	1	640698	644217	-	3520	619	512	504	584	414	402
Os01g0112400	1	645598	646722	-	1125	0	1	0	7	2	1
Os01g0112500	1	648288	651869	-	3582	1135	1233	1126	1054	1317	1337
Os01g0112600	1	677029	677602	+	574	2	0	0	0	0	0
Os01g0112800	1	689788	693923	+	4136	0	0	0	0	0	0
Os01g0113000	1	700533	706399	-	5867	48	53	28	9	27	20
Os01g0113150	1	710956	714232	+	3277	0	0	0	0	0	0
Os01g0113200	1	720673	723317	-	2645	14	35	11	20	20	48
Os01g0113300	1	723693	726099	+	2407	5	0	0	0	0	0
Os01g0113325	1	723736	725885	-	2150	0	0	0	0	0	0
Os01g0113350	1	728968	731172	+	2205	0	0	0	1	0	1
Os01g0113400	1	731150	738020	-	6871	0	0	0	0	0	0
Os01g0113450	1	731489	733719	+	2231	0	0	0	0	0	0
Os01g0113500	1	734071	737556	+	3486	0	0	0	0	0	0
Os01g0113600	1	738283	741797	-	3515	27	16	25	9	11	15
Os01g0113650	1	738908	740898	+	1991	0	0	0	0	0	0
Os01g0113700	1	742860	745177	-	2318	0	0	0	0	0	0
Os01g0113750	1	742883	745165	+	2283	0	0	0	0	0	0
Os01g0113800	1	745452	748945	+	3494	7	18	24	9	1	9
Os01g0113900	1	752080	754992	-	2913	0	0	0	0	0	0
Os01g0113950	1	752189	754829	+	2641	0	0	0	0	0	0
Os01g0114000	1	756221	756901	-	681	1	17	2	0	0	1
Os01g0114050	1	760695	760756	+	62	0	0	0	0	0	0
Os01g0114100	1	767181	769673	-	2493	1	1	1	2	4	1
Os01g0114150	1	767384	769651	+	2268	0	0	0	0	0	0
Os01g0114200	1	770284	774374	-	4091	0	0	0	0	4	0
Os01g0114300	1	770332	773829	+	3498	0	0	0	0	0	0
Os01g0114400	1	774727	775743	-	1017	0	0	0	0	0	0
Os01g0114402	1	774848	779158	+	4311	0	0	0	2	0	0
Os01g0114550	1	782765	784932	-	2168	0	0	1	0	0	2
Os01g0114600	1	786373	788619	-	2247	0	0	0	0	0	0
Os01g0114650	1	786401	788484	+	2084	0	0	0	0	0	0
Os01g0114700	1	789714	792435	+	2722	0	0	0	0	0	0
Os01g0114800	1	792455	796419	-	3965	0	0	0	0	0	0
Os01g0114900	1	794499	795413	+	915	0	0	0	0	0	0
Os01g0115100	1	804097	806932	-	2836	46	14	15	20	19	6
Os01g0115300	1	808174	810139	-	1966	19	16	13	15	13	8
Os01g0115200	1	808373	808859	+	487	0	0	0	0	0	0
Os01g0115500	1	839809	840828	-	1020	0	0	0	0	0	0
Os01g0115533	1	839879	842743	+	2865	0	0	0	2	0	0
Os01g0115566	1	842002	842757	-	756	0	0	0	0	0	0
Os01g0115600	1	843530	847399	+	3870	54	29	28	41	72	16
Os01g0115700	1	852249	854568	-	2320	0	5	2	9	6	5
Os01g0115725	1	852275	854570	+	2296	0	0	0	0	0	0
Os01g0115750	1	857897	860583	-	2687	0	0	0	0	0	0
Os01g0115752	1	857905	860521	+	2617	0	0	0	0	0	0
Os01g0115800	1	862579	865249	-	2671	0	0	0	0	0	0
Os01g0115950	1	863115	865183	+	2069	0	0	0	0	0	0
Os01g0116100	1	865786	869533	-	3748	1	8	0	0	0	0
Os01g0115900	1	865938	869298	+	3361	0	0	0	0	0	0
Os01g0116000	1	872458	874817	-	2360	0	0	0	0	0	0
Os01g0116101	1	872509	874697	+	2189	0	0	0	0	0	0
Os01g0116200	1	911735	914246	-	2512	4	0	0	0	0	0
Os01g0116250	1	911978	914143	+	2166	0	0	0	0	0	0
Os01g0116300	1	915605	917636	+	2032	63	62	57	29	19	41
Os01g0116400	1	921078	923630	-	2553	1	4	0	4	0	1
Os01g0116650	1	921296	923591	+	2296	0	0	0	0	0	0
Os01g0116900	1	924451	956639	+	32189	241	227	184	164	141	151
Os01g0116600	1	929884	934458	-	4575	0	0	0	0	0	0
Os01g0116800	1	935574	936704	-	1131	0	0	0	0	0	0
Os01g0116901	1	935618	938250	+	2633	0	0	0	0	0	0
Os01g0117000	1	957907	960626	-	2720	0	0	1	0	0	0
Os01g0117025	1	957952	960545	+	2594	0	0	0	0	0	0
Os01g0117050	1	961335	961973	-	639	50	47	22	54	27	42
Os01g0117100	1	961799	965151	+	3353	89	55	71	24	43	46
Os01g0117200	1	969340	973327	-	3988	0	0	0	0	0	0
Os01g0117233	1	969539	970666	+	1128	0	0	0	0	0	0
Os01g0117266	1	976766	977218	+	453	0	0	0	0	0	0
Os01g0117300	1	979238	980546	+	1309	0	0	0	2	2	0
Os01g0117400	1	984510	985133	-	624	0	0	0	0	0	0
Os01g0117450	1	984536	986741	+	2206	60	79	44	4	2	11
Os01g0117500	1	987676	990745	+	3070	7	0	3	0	0	0
Os01g0117600	1	994712	997262	-	2551	9	10	7	1	0	1
Os01g0117650	1	994955	997150	+	2196	0	0	0	0	0	0
Os01g0117700	1	997918	1000997	+	3080	14	19	16	4	1	10
Os01g0117900	1	1010259	1012400	+	2142	121	107	154	106	108	68
Os01g0118000	1	1016065	1019435	+	3371	1388	1410	1629	845	682	821
Os01g0118033	1	1016196	1017917	-	1722	0	0	0	0	0	0
Os01g0118066	1	1021424	1025533	-	4110	95	111	44	89	54	86
Os01g0118100	1	1024186	1030112	+	5927	887	927	774	636	697	649
Os01g0118300	1	1046604	1053166	+	6563	32	15	35	7	7	7
Os01g0118350	1	1047747	1052682	-	4936	0	0	0	0	0	0
Os01g0118400	1	1057177	1059852	-	2676	564	361	414	152	161	154
Os01g0118600	1	1066678	1069673	-	2996	55	60	62	24	37	19
Os01g0118700	1	1071962	1074829	-	2868	463	447	369	357	288	301
Os01g0119000	1	1078565	1081597	-	3033	90	64	76	78	62	66
Os01g0119050	1	1089873	1090174	-	302	44	32	31	12	25	16
Os01g0119100	1	1090194	1092825	-	2632	514	645	615	203	337	370
Os01g0119500	1	1103782	1106890	+	3109	435	439	395	236	221	302
Os01g0119800	1	1125645	1127402	-	1758	154	118	81	152	202	83
Os01g0120300	1	1145920	1153828	-	7909	3782	4097	3787	2481	2682	2502
Os01g0120400	1	1155293	1158444	-	3152	127	103	178	119	160	129
Os01g0120500	1	1160198	1164619	-	4422	173	184	202	110	119	131
Os01g0120600	1	1165737	1168396	+	2660	111	148	102	92	106	100
Os01g0120700	1	1168737	1171126	-	2390	3685	3137	3016	2678	2884	2504
Os01g0120800	1	1171902	1179370	-	7469	5334	6939	6533	3058	3262	3568
Os01g0121000	1	1181317	1182147	+	831	223	270	245	39	89	104
Os01g0121100	1	1183466	1186699	+	3234	520	455	494	470	381	340
Os01g0121200	1	1186667	1191013	-	4347	119	105	91	58	66	69
Os01g0121300	1	1198687	1203502	-	4816	111	99	98	81	93	83
Os01g0121400	1	1198958	1203465	+	4508	0	0	0	0	0	0
ENSRNA049471381	1	1215030	1215219	+	190	3	2	6	0	0	3
Os01g0121500	1	1217319	1218116	-	798	27	39	31	27	35	12
Os01g0121600	1	1223134	1223887	-	754	75	80	91	100	118	125
Os01g0121700	1	1224012	1230500	-	6489	557	651	539	354	333	309
Os01g0121800	1	1232493	1236760	+	4268	502	589	509	303	358	349
Os01g0121900	1	1238623	1240005	+	1383	3	10	2	5	1	4
Os01g0121950	1	1240943	1242391	+	1449	43	19	34	26	10	19
Os01g0122000	1	1249881	1251421	+	1541	107	53	191	27	46	44
Os01g0122200	1	1254028	1255635	+	1608	2	0	0	1	0	0
Os01g0122367	1	1254331	1255339	-	1009	0	0	0	0	0	0
Os01g0122534	1	1264331	1265206	-	876	0	2	0	0	1	0
Os01g0122701	1	1264968	1265273	+	306	0	0	0	0	0	0
Os01g0123500	1	1328172	1329191	+	1020	6	2	0	0	2	0
Os01g0123700	1	1333752	1334769	-	1018	0	0	0	0	0	0
Os01g0123800	1	1335864	1337407	+	1544	7	6	15	13	7	10
Os01g0123900	1	1338241	1339098	-	858	6	4	11	2	5	6
Os01g0124000	1	1341368	1342277	-	910	3	2	0	0	0	0
Os01g0124100	1	1345118	1346047	-	930	120	119	61	96	99	65
Os01g0124200	1	1347665	1348723	-	1059	9492	9778	7629	7049	8072	6182
Os01g0124401	1	1353705	1354767	-	1063	41335	38548	35459	28690	33210	24688
Os01g0124550	1	1356759	1361044	+	4286	0	0	0	0	0	0
Os01g0124600	1	1363710	1364282	-	573	0	0	3	1	0	0
Os01g0124650	1	1365586	1366432	-	847	1	2	0	0	0	0
Os01g0124700	1	1365703	1366502	+	800	0	0	0	0	0	0
Os01g0124900	1	1369191	1374138	+	4948	33	31	41	20	31	13
Os01g0125000	1	1375169	1376327	+	1159	0	0	0	0	0	0
Os01g0125500	1	1395980	1396825	-	846	2	0	1	3	0	0
Os01g0125550	1	1401419	1403419	-	2001	91	106	116	51	64	45
Os01g0125600	1	1404816	1406889	+	2074	225	215	233	88	149	125
Os01g0125700	1	1410987	1413093	-	2107	106	108	69	95	81	61
Os01g0125800	1	1413839	1418982	+	5144	216	204	239	145	131	159
Os01g0125850	1	1413847	1418662	-	4816	0	0	0	0	0	0
Os01g0125900	1	1421693	1427650	+	5958	2207	2471	1526	1690	1750	1811
Os01g0126000	1	1433755	1434955	-	1201	0	0	0	0	0	0
Os01g0126100	1	1433996	1436809	+	2814	189	67	84	52	38	47
Os01g0126200	1	1437163	1445599	+	8437	56	62	175	15	30	47
Os01g0126401	1	1445541	1449450	-	3910	3	0	3	0	0	1
Os01g0126600	1	1446849	1450473	+	3625	110	191	205	38	84	92
Os01g0126900	1	1486400	1488897	+	2498	0	0	0	0	0	0
Os01g0127000	1	1490494	1492684	-	2191	0	0	0	0	0	0
Os01g0127100	1	1490993	1492680	+	1688	0	0	0	0	0	0
Os01g0127200	1	1497241	1500606	-	3366	0	0	0	0	0	0
Os01g0127300	1	1504037	1508057	-	4021	256	218	250	132	229	155
Os01g0127400	1	1508213	1510771	+	2559	46	28	27	18	22	43
Os01g0127450	1	1511964	1512646	+	683	13	0	16	6	2	6
Os01g0127500	1	1513138	1514432	+	1295	7	20	0	9	14	3
Os01g0127600	1	1515837	1516714	+	878	825	749	679	571	741	502
Os01g0127700	1	1518247	1521601	+	3355	47	52	79	13	11	21
Os01g0127900	1	1534135	1539601	+	5467	42	43	33	76	55	67
Os01g0128000	1	1549241	1551011	-	1771	257	212	156	217	238	220
Os01g0128100	1	1562618	1566554	-	3937	8	9	9	0	0	0
Os01g0128200	1	1566147	1569467	+	3321	175	166	89	87	126	107
Os01g0128250	1	1567453	1568989	-	1537	0	0	0	0	0	0
Os01g0128300	1	1569644	1570940	-	1297	144	218	186	185	117	96
Os01g0128400	1	1571479	1576596	-	5118	2592	3184	3026	1617	1863	1777
Os01g0128700	1	1597486	1598510	-	1025	15	28	8	9	2	16
Os01g0128800	1	1598995	1605729	+	6735	422	398	325	211	181	197
Os01g0129200	1	1625159	1626574	+	1416	10	12	25	5	6	13
Os01g0129500	1	1641272	1644151	-	2880	33	58	102	19	22	20
Os01g0129550	1	1641526	1642777	+	1252	0	0	0	0	0	0
Os01g0129600	1	1657306	1658388	+	1083	1	2	4	0	11	0
Os01g0129800	1	1670475	1670997	-	523	0	7	3	10	7	1
Os01g0130000	1	1673503	1677066	-	3564	569	542	501	520	528	542
Os01g0130100	1	1673866	1674692	+	827	0	0	0	0	0	0
Os01g0130200	1	1685427	1685810	-	384	99	94	125	111	67	58
Os01g0130400	1	1698203	1703090	+	4888	95	121	77	86	64	85
Os01g0130500	1	1700523	1702512	-	1990	0	0	0	0	0	0
Os01g0130900	1	1712137	1712947	-	811	192	256	216	127	129	180
Os01g0131250	1	1733867	1738307	-	4441	7	0	1	7	0	8
Os01g0131300	1	1738868	1739820	+	953	1955	1807	1979	1556	1676	1503
Os01g0131600	1	1746416	1748544	+	2129	2	2	0	10	10	19
Os01g0131450	1	1746447	1748328	-	1882	0	0	0	0	0	0
Os01g0131800	1	1754374	1757590	+	3217	303	526	510	173	239	252
Os01g0131900	1	1757812	1758730	-	919	13	12	30	15	9	28
Os01g0132000	1	1760310	1761065	-	756	732	851	82	215	277	198
Os01g0132050	1	1764784	1770260	-	5477	6	12	20	9	10	0
Os01g0132100	1	1765373	1768669	+	3297	0	0	0	0	0	0
Os01g0132200	1	1771497	1772410	-	914	10	20	9	1	0	0
Os01g0132400	1	1776044	1778105	-	2062	0	0	0	0	4	0
Os01g0132500	1	1781075	1782386	+	1312	289	192	168	147	183	157
Os01g0132700	1	1787870	1791456	-	3587	100	82	107	43	60	62
Os01g0132766	1	1801983	1803280	-	1298	46	40	54	27	26	31
Os01g0132800	1	1813011	1817601	-	4591	95	87	86	83	92	67
Os01g0133100	1	1834110	1836549	+	2440	135	166	103	57	138	104
Os01g0133200	1	1838282	1839194	-	913	10	3	8	0	0	3
Os01g0133400	1	1844263	1849102	+	4840	4180	4440	3861	2333	2993	2834
Os01g0133500	1	1849887	1856251	+	6365	876	1160	942	752	787	920
Os01g0133600	1	1857083	1858534	+	1452	1	8	12	10	10	1
Os01g0133650	1	1857805	1858452	-	648	0	0	0	0	0	0
Os01g0133700	1	1865027	1866109	+	1083	0	0	0	2	0	0
Os01g0133766	1	1865235	1865307	-	73	0	0	0	0	0	0
Os01g0133799	1	1865455	1866126	-	672	0	0	0	0	0	0
Os01g0133832	1	1868093	1868762	-	670	43	50	28	57	60	45
Os01g0133866	1	1869486	1870071	-	586	14	18	25	16	33	7
Os01g0133900	1	1869773	1870408	+	636	17	28	20	25	39	21
Os01g0134200	1	1876913	1879901	+	2989	0	0	0	0	1	0
Os01g0134500	1	1888525	1892262	+	3738	504	580	617	229	247	216
Os01g0134700	1	1902741	1904902	+	2162	30	32	25	33	16	13
Os01g0134800	1	1906717	1908131	-	1415	2	1	1	1	0	4
Os01g0134850	1	1906985	1909022	+	2038	9	7	4	0	0	2
Os01g0134900	1	1912561	1915094	-	2534	54	31	56	14	15	21
Os01g0135000	1	1914497	1916083	+	1587	0	0	0	0	0	0
Os01g0135600	1	1928167	1930288	+	2122	0	0	0	0	0	0
Os01g0135700	1	1931016	1931904	-	889	326	489	250	579	557	334
Os01g0135800	1	1934117	1934924	+	808	171	139	22	395	293	309
Os01g0135900	1	1941012	1941851	+	840	757	804	823	445	503	488
Os01g0136000	1	1944276	1944948	-	673	3	2	3	1	0	0
Os01g0136050	1	1944426	1944968	+	543	0	0	0	0	0	0
Os01g0136100	1	1948773	1949587	-	815	23740	21951	17589	28405	29360	25506
Os01g0136200	1	1951930	1952681	+	752	7226	6579	5345	9115	9589	8223
Os01g0136300	1	1955181	1955914	-	734	30	38	56	11	6	11
Os01g0136400	1	1957847	1967451	-	9605	206	256	294	178	186	159
Os01g0136450	1	1961587	1962403	-	817	0	0	0	0	0	0
Os01g0136500	1	1962884	1963627	-	744	0	0	0	0	0	0
Os01g0136502	1	1966504	1967491	+	988	0	0	0	0	0	0
Os01g0136600	1	1970071	1970782	+	712	2	13	0	1	0	1
Os01g0136700	1	1971228	1975465	-	4238	1	0	0	0	0	2
Os01g0136800	1	1977423	1982484	-	5062	3	16	4	2	5	2
Os01g0136850	1	1977659	1982249	+	4591	0	0	0	0	0	0
Os01g0136900	1	1984267	1986150	+	1884	4	0	1	0	0	0
Os01g0137066	1	1984341	1985008	-	668	0	0	0	0	0	0
Os01g0137232	1	1985288	1986316	-	1029	7	12	17	2	4	1
Os01g0137400	1	1988716	2003083	+	14368	12	6	2	1	3	1
Os01g0137125	1	1988797	1996845	-	8049	0	0	0	0	0	0
Os01g0137150	1	1992244	1997867	-	5624	0	0	0	0	0	0
Os01g0137200	1	1993553	1994320	+	768	0	0	0	0	0	0
Os01g0137250	1	1995550	1996857	+	1308	0	0	0	0	0	0
Os01g0137266	1	1998852	1999549	-	698	0	0	0	0	0	0
Os01g0137282	1	1998872	1999654	+	783	0	0	0	0	0	0
Os01g0137300	1	2000724	2003913	-	3190	45	37	29	36	23	22
Os01g0137500	1	2014791	2018248	+	3458	1	9	0	1	0	0
Os01g0137550	1	2015899	2018829	-	2931	7	4	0	4	0	3
Os01g0137700	1	2023879	2026177	+	2299	11	7	2	1	1	5
Os01g0137750	1	2024131	2024778	-	648	0	0	0	0	0	0
Os01g0137800	1	2029671	2034609	+	4939	18	5	38	10	13	22
Os01g0137875	1	2036653	2038001	-	1349	0	0	0	0	0	0
Os01g0137950	1	2037202	2038198	+	997	1	13	25	10	11	2
Os01g0138000	1	2042088	2042762	-	675	0	0	0	0	2	0
Os01g0138100	1	2046146	2053048	-	6903	21	20	26	12	18	15
Os01g0138232	1	2048615	2049566	-	952	0	0	0	0	0	0
Os01g0138300	1	2048717	2052514	+	3798	0	0	0	0	0	0
Os01g0138350	1	2051041	2052354	-	1314	0	0	0	0	0	0
Os01g0138400	1	2053583	2057636	+	4054	135	202	156	139	169	152
Os01g0138451	1	2053618	2054336	-	719	0	0	0	0	0	0
Os01g0138500	1	2059309	2062226	+	2918	35	46	46	73	42	32
Os01g0138600	1	2063615	2065995	-	2381	72	63	134	54	60	61
Os01g0138800	1	2071843	2073609	+	1767	34	34	5	75	42	32
Os01g0138900	1	2074795	2077903	-	3109	920	987	743	756	719	805
Os01g0139000	1	2080112	2081303	+	1192	3	1	7	1	0	0
Os01g0139200	1	2084490	2087203	-	2714	1674	1765	1686	1331	1066	1151
Os01g0139600	1	2097192	2100692	+	3501	639	579	357	1266	1082	936
Os01g0139700	1	2102113	2102672	-	560	26	44	41	15	16	18
Os01g0139900	1	2108961	2109677	-	717	5	6	12	3	11	8
Os01g0140100	1	2120489	2122320	+	1832	1306	1934	2707	233	451	587
Os01g0140400	1	2131013	2137293	+	6281	227	204	242	82	81	103
Os01g0140500	1	2137800	2138539	+	740	2221	2605	2575	2364	1942	1635
Os01g0140700	1	2154326	2155279	+	954	0	0	0	0	0	0
Os01g0141000	1	2202278	2203787	+	1510	5	15	9	2	6	8
Os01g0141100	1	2215662	2222812	-	7151	876	921	976	416	578	582
Os01g0141150	1	2216130	2222523	+	6394	0	0	0	0	0	0
Os01g0141300	1	2226409	2229526	-	3118	0	0	0	0	0	0
Os01g0141450	1	2226816	2229461	+	2646	0	0	0	0	0	0
Os01g0141600	1	2245732	2250435	+	4704	80	95	45	39	35	44
Os01g0141700	1	2250838	2255073	-	4236	555	566	437	310	414	364
Os01g0141900	1	2261501	2266230	+	4730	612	604	497	394	532	524
Os01g0142100	1	2266281	2271051	-	4771	194	134	135	72	91	101
Os01g0142200	1	2271163	2273724	+	2562	167	217	219	108	117	143
Os01g0142300	1	2275067	2278872	+	3806	187	151	76	50	76	81
Os01g0142400	1	2279102	2279169	+	68	0	0	0	0	0	0
Os01g0142500	1	2281913	2284775	-	2863	902	990	869	479	413	467
Os01g0142600	1	2292239	2294340	+	2102	7	15	7	0	2	5
Os01g0142800	1	2294904	2298329	+	3426	49	42	47	37	70	32
Os01g0142875	1	2296049	2297950	-	1902	0	0	0	0	0	0
Os01g0142950	1	2338166	2342048	-	3883	0	0	0	0	0	0
Os01g0143100	1	2350069	2353502	-	3434	249	183	193	207	183	172
Os01g0143300	1	2357871	2360437	-	2567	27	52	69	16	22	17
Os01g0143350	1	2358098	2360393	+	2296	0	0	0	0	0	0
Os01g0143400	1	2361799	2363814	-	2016	2	2	2	0	1	0
Os01g0143700	1	2372323	2374066	-	1744	0	0	0	0	0	0
Os01g0143750	1	2372336	2374091	+	1756	0	0	0	0	0	0
Os01g0143800	1	2374541	2376761	-	2221	534	613	607	364	376	398
Os01g0143900	1	2377369	2377984	-	616	542	374	448	253	308	217
Os01g0144000	1	2378825	2382584	-	3760	1481	1399	1378	723	751	824
Os01g0144100	1	2383611	2385593	-	1983	63	87	137	27	51	77
Os01g0144200	1	2386373	2388597	+	2225	188	336	379	159	139	177
